House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
43,Wharf Wells,Gemma,John,10,Daughter,Unknown,Female,Student,Unknown,Unknown
44,Wharf Wells,Chloe,Turner,43,Head,Married,Female,"Scientist, research (life sciences)",Unknown,Catholic
44,Wharf Wells,Geoffrey,Turner,46,Husband,Married,Male,Food technologist,Unknown,Unknown
44,Wharf Wells,Josh,Turner,16,Son,Unknown,Male,Student,Unknown,Unknown
44,Wharf Wells,Glenn,Turner,14,Son,Unknown,Male,Student,Unknown,Unknown
44,Wharf Wells,Alexander,Turner,14,Son,Unknown,Male,Student,Unknown,Unknown
45,Wharf Wells,Samantha,Wilson,60,Head,Single,Female,Unemployed,Unknown,Unknown
45,Wharf Wells,Lynn,Wilson,40,Daughter,Single,Female,"Designer, graphic",Unknown,Unknown
45,Wharf Wells,Beth,Wilson,38,Daughter,Single,Female,Bonds trader,Unknown,Unknown
45,Wharf Wells,Irene,Wilson,37,Daughter,Single,Female,Medical physicist,Unknown,Unknown
45,Wharf Wells,Paige,Wilson,27,Daughter,Single,Female,Unemployed,Unknown,Unknown
46,Wharf Wells,Ashleigh,Walker,56,Head,Divorced,Female,Control and instrumentation engineer,Unknown,Unknown
46,Wharf Wells,Harriet,Walker,27,Daughter,Single,Female,Health physicist,Unknown,Unknown
46,Wharf Wells,George,Walker,26,Son,Divorced,Male,Music therapist,Unknown,Unknown
46,Wharf Wells,Victoria,Walker,23,Daughter,Single,Female,Energy engineer,Unknown,Unknown
46,Wharf Wells,Judith,Walker,19,Daughter,Single,Female,University Student,Unknown,Unknown
47,Wharf Wells,Jodie,Gilbert,42,Head,Married,Female,"Solicitor, Scotland",Unknown,Unknown
47,Wharf Wells,Gareth,Gilbert,44,Husband,Married,Male,Graphic designer,Unknown,Unknown
47,Wharf Wells,Henry,Gilbert,6,Son,Unknown,Male,Student,Unknown,Unknown
47,Wharf Wells,Bethany,Allan,62,Lodger,Single,Female,Data processing manager,Unknown,Catholic
47,Wharf Wells,Tina,Fox,44,Lodger,Single,Female,Dietitian,Unknown,Christian
47,Wharf Wells,Kerry,Wallace,18,Lodger,Divorced,Female,Student,Unknown,Unknown
47,Wharf Wells,Leon,Rhodes,31,Lodger,Single,Male,Immunologist,Unknown,Catholic
47,Wharf Wells,Ross,Begum,56,Lodger,Single,Male,Analytical chemist,Unknown,Unknown
47,Wharf Wells,Ricky,Smith,41,Lodger,Single,Male,Unemployed,Unknown,Catholic
48,Wharf Wells,Charlene,Evans-Ali,38,Head,Divorced,Female,"Engineer, materials",Unknown,Catholic
48,Wharf Wells,Jayne,Evans-Ali,18,Daughter,Single,Female,Student,Unknown,Unknown
48,Wharf Wells,George,Evans-Ali,14,Son,Unknown,Male,Student,Unknown,Unknown
48,Wharf Wells,Samantha,Evans-Ali,10,Daughter,Unknown,Female,Student,Unknown,Unknown
48,Wharf Wells,Eric,Evans-Ali,9,Son,Unknown,Male,Student,Unknown,Unknown
49,Wharf Wells,Hollie,Akhtar,40,Head,Married,Female,Medical technical officer,Unknown,Catholic
49,Wharf Wells,Adam,Akhtar,43,Husband,Married,Male,Clothing/textile technologist,Unknown,Catholic
49,Wharf Wells,Bruce,Akhtar,11,Son,Unknown,Male,Student,Unknown,Unknown
49,Wharf Wells,Katy,Akhtar,9,Daughter,Unknown,Female,Student,Unknown,Unknown
49,Wharf Wells,Raymond,Akhtar,6,Son,Unknown,Male,Student,Unknown,Unknown
50,Wharf Wells,Rosemary,Hill,47,Head,Divorced,Female,Senior tax professional/tax inspector,Unknown,Methodist
50,Wharf Wells,Terence,Hill,18,Son,Single,Male,Student,Unknown,Methodist
50,Wharf Wells,Chloe,Hill,17,Daughter,Unknown,Female,Student,Unknown,Unknown
50,Wharf Wells,Gemma,Hill,11,Daughter,Unknown,Female,Student,Unknown,Unknown
50,Wharf Wells,Timothy,Hill,9,Son,Unknown,Male,Student,Unknown,Unknown
51,Wharf Wells,Guy,Jones,29,Head,Married,Male,Counselling psychologist,Unknown,Catholic
51,Wharf Wells,Chloe,Jones,23,Wife,Married,Female,Orthoptist,Unknown,Catholic
51,Wharf Wells,Nicholas,Pollard,33,Sibling,Single,Male,Economist,Unknown,Unknown
51,Wharf Wells,Liam,Smith,40,Lodger,Single,Male,Product manager,Unknown,Unknown
51,Wharf Wells,Hazel,Bradley,24,Lodger,Single,Female,Broadcast engineer,Unknown,Unknown
1,Queen Avenue,Bruce,Dyer,48,Head,Divorced,Male,Psychiatric nurse,Unknown,Catholic
2,Queen Avenue,Ellie,Lucas,51,Head,Divorced,Female,Unemployed,Unknown,Christian
2,Queen Avenue,Anthony,Lucas,16,Son,Unknown,Male,Student,Unknown,Unknown
3,Queen Avenue,Leon,Smith,39,Head,Single,Male,"Psychologist, counselling",Unknown,Christian
3,Queen Avenue,Mandy,McDonald,43,Partner,Single,Female,Firefighter,Unknown,Unknown
4,Queen Avenue,Katie,Johnson,59,Head,Single,Female,"Librarian, academic",Unknown,Catholic
5,Queen Avenue,Hugh,Turner,68,Head,Widowed,Male,Retired,Unknown,Christian
6,Queen Avenue,Glen,Booth,40,Head,Single,Male,Barrister,Unknown,Unknown
7,Queen Avenue,Alexandra,Tucker,48,Head,Divorced,Female,Fish farm manager,Unknown,Unknown
7,Queen Avenue,Ricky,Tucker,16,Son,Unknown,Male,Student,Unknown,Unknown
8,Queen Avenue,Toby,Stewart,74,Head,Divorced,Male,Retired,Unknown,Muslim
9,Queen Avenue,Brandon,Quinn,43,Head,Single,Male,"Engineer, manufacturing systems",Unknown,Unknown
10,Queen Avenue,Margaret,Jordan,34,Head,Single,Female,Tree surgeon,Unknown,Catholic
11,Queen Avenue,Elizabeth,Dodd,41,Head,Single,Female,Unemployed,Unknown,Catholic
11,Queen Avenue,Timothy,Shaw,45,Partner,Single,Male,Agricultural consultant,Unknown,Unknown
12,Queen Avenue,Jeffrey,Khan,43,Head,Single,Male,Unemployed,Unknown,Catholic
12,Queen Avenue,Rosemary,Wilson,40,Partner,Single,Female,"Engineer, aeronautical",Unknown,Catholic
12,Queen Avenue,Clifford,Khan,7,Son,Unknown,Male,Student,Unknown,Unknown
13,Queen Avenue,Maria,Patel,78,Head,Widowed,Female,Retired,Unknown,Unknown
13,Queen Avenue,Jack,Patel,35,Son,Single,Male,Television camera operator,Unknown,Unknown
13,Queen Avenue,Catherine,Patel,32,Daughter,Single,Female,Theatre manager,Unknown,Unknown
14,Queen Avenue,Sheila,Allen,27,Head,Single,Female,Sports coach,Unknown,Unknown
14,Queen Avenue,Claire,Alexander,32,Sibling,Single,Female,Garment/textile technologist,Unknown,Unknown
15,Queen Avenue,John,Brady,20,Head,Divorced,Male,University Student,Unknown,Unknown
16,Queen Avenue,Aaron,Ellis,69,Head,Divorced,Male,Retired,Unknown,Christian
17,Queen Avenue,Jean,Jackson,52,Head,Widowed,Female,Science writer,Unknown,Jewish
17,Queen Avenue,Frank,Jackson,26,Adopted Son,Single,Male,Acupuncturist,Unknown,Jewish
17,Queen Avenue,Maurice,Jackson,22,Son,Single,Male,University Student,Unknown,Jewish
18,Queen Avenue,Rachel,Coates,77,Head,Widowed,Female,Retired,Unknown,Unknown
19,Queen Avenue,Danielle,Hilton,73,Head,Divorced,Female,Retired,Unknown,Christian
20,Queen Avenue,Natalie,Leach,54,Head,Single,Female,"Horticulturist, amenity",Unknown,Unknown
21,Queen Avenue,Carl,Wood,28,Head,Single,Male,Unemployed,Unknown,Catholic
21,Queen Avenue,Vanessa,Short,26,Lodger,Single,Female,Bookseller,Unknown,Unknown
22,Queen Avenue,Janet,Shaw,57,Head,Single,Female,Medical laboratory scientific officer,Unknown,Christian
23,Queen Avenue,Danielle,Patel,44,Head,Married,Female,Film/video editor,Unknown,Unknown
23,Queen Avenue,Gareth,Patel,49,Husband,Married,Male,Copy,Unknown,Unknown
23,Queen Avenue,Lydia,Patel,3,Daughter,Unknown,Female,Child,Unknown,Unknown
24,Queen Avenue,Stephen,Byrne,36,Head,Single,Male,Jewellery designer,Unknown,Christian
25,Queen Avenue,Alan,Lowe,74,Head,Widowed,Male,Retired,Unknown,Christian
26,Queen Avenue,Leanne,Ali,61,Head,Married,Female,Medical technical officer,Unknown,Unknown
26,Queen Avenue,Paul,Ali,67,Husband,Married,Male,Retired,Unknown,Unknown
26,Queen Avenue,Cheryl,Ali,16,Granddaughter,Unknown,Female,Student,Unknown,Unknown
27,Queen Avenue,Glen,Butcher,39,Head,Married,Male,Industrial/product designer,Unknown,Unknown
27,Queen Avenue,Louise,Butcher,37,Wife,Married,Female,Facilities manager,Unknown,Unknown
27,Queen Avenue,Hayley,Butcher,5,Neice,Unknown,Female,Student,Unknown,Unknown
28,Queen Avenue,Clifford,Oliver,83,Head,Married,Male,Retired,Unknown,Unknown
28,Queen Avenue,Kayleigh,Oliver,81,Wife,Married,Female,Retired,Unknown,Unknown
29,Queen Avenue,Zoe,Jones,81,Head,Single,Female,Retired,Unknown,Catholic
30,Queen Avenue,Tina,Jones,80,Head,Divorced,Female,Retired,Unknown,Christian
31,Queen Avenue,Nigel,Ferguson,59,Head,Married,Male,"Solicitor, Scotland",Unknown,Methodist
31,Queen Avenue,Eleanor,Ferguson,56,Wife,Married,Female,Printmaker,Unknown,Methodist
32,Queen Avenue,Kenneth,Collins,49,Head,Single,Male,Rural practice surveyor,Unknown,Unknown
33,Queen Avenue,Rachael,Kelly,58,Head,Single,Female,Barrister's clerk,Unknown,Unknown
34,Queen Avenue,Stephanie,Smith,48,Head,Married,Female,"Psychologist, educational",Unknown,Christian
34,Queen Avenue,Adam,Smith,52,Husband,Married,Male,"Lecturer, further education",Unknown,Christian
34,Queen Avenue,Mathew,Smith,16,Son,Unknown,Male,Student,Unknown,Unknown
35,Queen Avenue,Laura,Smith,75,Head,Widowed,Female,Retired,Unknown,Christian
36,Queen Avenue,Heather,Wood,72,Head,Married,Female,Retired,Unknown,Unknown
36,Queen Avenue,Jake,Wood,71,Husband,Married,Male,Retired,Unknown,Unknown
37,Queen Avenue,Alice,Harrison,49,Head,Married,Female,Dentist,Unknown,Unknown
37,Queen Avenue,Ben,Harrison,51,Husband,Married,Male,Minerals surveyor,Unknown,Unknown
37,Queen Avenue,Jacqueline,Harrison,17,Daughter,Unknown,Female,Student,Unknown,Unknown
38,Queen Avenue,Catherine,Nicholls,69,Head,Divorced,Female,Retired,Unknown,Christian
1,Tegid Street,Molly,Barnes,28,Head,Married,Female,"Physicist, medical",Unknown,Methodist
1,Tegid Street,Connor,Barnes,32,Husband,Married,Male,Social worker,Unknown,Unknown
2,Tegid Street,Kathryn,Atkinson,39,Head,Single,Female,Unemployed,Unknown,Catholic
2,Tegid Street,Lynda,Atkinson,6,Daughter,Unknown,Female,Student,Unknown,Unknown
3,Tegid Street,Gemma,Evans,54,Head,Married,Female,Paediatric nurse,Unknown,Unknown
3,Tegid Street,Martin,Wright,55,Husband,Married,Male,Horticultural consultant,Unknown,Unknown
3,Tegid Street,Eileen,Evans,16,Daughter,Unknown,Female,Student,Unknown,Unknown
4,Tegid Street,Alexander,Hall,66,Head,Widowed,Male,Retired,Unknown,Christian
4,Tegid Street,Scott,Hall,17,Grandson,Unknown,Male,Student,Unknown,Unknown
1,Chandler Drive,Janet,Kelly,63,Head,Widowed,Female,"Research officer, trade union",Unknown,Unknown
1,Chandler Drive,Amy,Sykes,21,Granddaughter,Single,Female,University Student,Unknown,Unknown
1,Chandler Drive,Michael,Sykes,17,Grandson,Unknown,Male,Student,Unknown,Unknown
1,Chandler Drive,Donna,Sykes,13,Granddaughter,Unknown,Female,Student,Unknown,Unknown
1,Chandler Drive,Gerald,Sykes,13,Grandson,Unknown,Male,Student,Unknown,Unknown
2,Chandler Drive,Ann,Jones,57,Head,Widowed,Female,Associate Professor,Unknown,Unknown
3,Chandler Drive,Linda,Dobson,44,Head,Single,Female,Retail merchandiser,Unknown,Catholic
4,Chandler Drive,Marilyn,Woodward,63,Head,Single,Female,Art therapist,Unknown,Christian
4,Chandler Drive,Rosemary,Woodward,36,Daughter,Single,Female,Call centre manager,Unknown,Christian
4,Chandler Drive,Kevin,Woodward,33,Son,Divorced,Male,Unemployed,Unknown,Christian
4,Chandler Drive,Christine,Woodward,32,Daughter,Single,Female,Secretary/administrator,Unknown,Christian
5,Chandler Drive,James,Webster,40,Head,Divorced,Male,Stage manager,Unknown,Unknown
6,Chandler Drive,Gary,Booth,56,Head,Single,Male,"Accountant, chartered management",Unknown,Unknown
6,Chandler Drive,Abigail,Jackson,52,Partner,Single,Female,"Nurse, mental health",Unknown,Unknown
7,Chandler Drive,Simon,Hall,29,Head,Single,Male,Unemployed,Unknown,Unknown
7,Chandler Drive,Rebecca,Rice,53,Unknown,Single,Female,"Runner, broadcasting/film/video",Unknown,Methodist
8,Chandler Drive,Neil,Thomas,21,Head,Married,Male,University Student,Unknown,Unknown
8,Chandler Drive,Bethany,Thomas,19,Wife,Married,Female,University Student,Unknown,Unknown
9,Chandler Drive,Georgia,Cartwright,59,Head,Married,Female,"Pharmacist, hospital",Unknown,Unknown
9,Chandler Drive,Gareth,Cartwright,60,Husband,Married,Male,Unemployed,Unknown,Unknown
10,Chandler Drive,Josephine,Williams,26,Head,Divorced,Female,Youth worker,Unknown,Methodist
10,Chandler Drive,Michael,Williams,2,Son,Unknown,Male,Child,Unknown,Unknown
10,Chandler Drive,Kevin,Evans,43,Lodger,Divorced,Male,Holiday representative,Blind,Unknown
11,Chandler Drive,Deborah,Johnson,34,Head,Married,Female,Emergency planning/management officer,Unknown,Muslim
11,Chandler Drive,Joshua,Johnson,35,Husband,Married,Male,Contractor,Unknown,Unknown
11,Chandler Drive,Natalie,Johnson,10,Daughter,Unknown,Female,Student,Unknown,Unknown
11,Chandler Drive,Jeremy,Johnson,9,Son,Unknown,Male,Student,Unknown,Unknown
12,Chandler Drive,Elliott,Taylor,48,Head,Divorced,Male,Health physicist,Unknown,Methodist
12,Chandler Drive,Conor,Taylor,24,Son,Single,Male,Senior tax professional/tax inspector,Unknown,Christian
12,Chandler Drive,Joel,Taylor,20,Son,Single,Male,University Student,Unknown,Unknown
13,Chandler Drive,Shirley,Richardson,52,Head,Married,Female,Paediatric nurse,Unknown,Christian
13,Chandler Drive,Mark,Richardson,52,Husband,Married,Male,Ophthalmologist,Unknown,Unknown
14,Chandler Drive,Brandon,Randall,46,Head,Single,Male,Diagnostic radiographer,Unknown,Unknown
14,Chandler Drive,Shirley,Farrell,44,Partner,Single,Female,Insurance account manager,Unknown,Unknown
15,Chandler Drive,Alice,Taylor,42,Head,Widowed,Female,Museum/gallery exhibitions officer,Unknown,Christian
15,Chandler Drive,Lisa,Taylor,5,Daughter,Unknown,Female,Student,Unknown,Unknown
16,Chandler Drive,Julie,Perkins,58,Head,Single,Female,Unemployed,Unknown,Unknown
16,Chandler Drive,Owen,Mills,46,Unknown,Single,Male,Lawyer,Unknown,Christian
16,Chandler Drive,Katy,Clayton,60,Unknown,Single,Female,Medical illustrator,Unknown,Christian
16,Chandler Drive,Luke,Williams,54,Unknown,Single,Male,Architect,Unknown,Christian
16,Chandler Drive,Shane,Clarke,25,Unknown,Single,Male,Environmental health practitioner,Unknown,Catholic
16,Chandler Drive,Jade,Andrews,35,Unknown,Single,Female,Planning and development surveyor,Unknown,Unknown
17,Chandler Drive,Jennifer,May,30,Head,Single,Female,Conference centre manager,Unknown,Muslim
17,Chandler Drive,Lawrence,May,0,Son,Unknown,Male,Child,Unknown,Unknown
18,Chandler Drive,Dale,Joyce,64,Head,Single,Male,"Scientist, physiological",Unknown,Christian
18,Chandler Drive,Danielle,Atkinson,39,Unknown,Single,Female,Chartered public finance accountant,Unknown,Catholic
18,Chandler Drive,Lee,Taylor,41,Unknown,Single,Male,Transport planner,Unknown,Unknown
19,Chandler Drive,Janet,Murphy,47,Head,Divorced,Female,Communications engineer,Unknown,Methodist
20,Chandler Drive,Lauren,Parry,56,Head,Single,Female,Control and instrumentation engineer,Unknown,Methodist
21,Chandler Drive,Conor,Lawrence,68,Head,Married,Male,Retired,Unknown,Methodist
21,Chandler Drive,Lauren,Lawrence,61,Wife,Married,Female,Barrister,Unknown,Methodist
22,Chandler Drive,Carl,Booth,21,Head,Single,Male,University Student,Unknown,Unknown
22,Chandler Drive,Neil,Smith,20,Unknown,Single,Male,University Student,Unknown,Unknown
23,Chandler Drive,Cheryl,Patel,24,Head,Single,Female,Best boy,Unknown,Catholic
23,Chandler Drive,Mandy,Thompson-Patel,4,Step-Daughter,Unknown,Female,Child,Unknown,Unknown
24,Chandler Drive,Gordon,Faulkner,34,Head,Divorced,Male,Unemployed,Unknown,Unknown
24,Chandler Drive,Fiona,Jones-Faulkner,1,Daughter,Unknown,Female,Child,Unknown,Unknown
24,Chandler Drive,Marc,Jones-Faulkner,0,Son,Unknown,Male,Child,Unknown,Unknown
25,Chandler Drive,Geraldine,Cook,72,Head,Widowed,Female,Retired,Unknown,Catholic
25,Chandler Drive,Dominic,Jackson,5,Grandson,Unknown,Male,Student,Unknown,Unknown
26,Chandler Drive,Phillip,Green,44,Head,Married,Male,Dispensing optician,Unknown,Unknown
26,Chandler Drive,Abigail,Green,46,Wife,Married,Female,Medical physicist,Unknown,Unknown
27,Chandler Drive,Tracy,Brown,58,Head,Married,Female,Hospital pharmacist,Unknown,Christian
27,Chandler Drive,Mohammed,Brown,56,Husband,Married,Male,Textile designer,Unknown,Christian
27,Chandler Drive,Abbie,Brown,15,Daughter,Unknown,Female,Student,Unknown,Unknown
28,Chandler Drive,Lesley,Ward,70,Head,Married,Female,Retired,Unknown,Christian
28,Chandler Drive,Joseph,Ward,72,Husband,Married,Male,Retired,Unknown,Christian
28,Chandler Drive,Debra,Ward,46,Daughter,Single,Female,Colour technologist,Unknown,Unknown
28,Chandler Drive,Liam,Ward,43,Son,Single,Male,Trade mark attorney,Unknown,Unknown
28,Chandler Drive,Dylan,Ward,40,Son,Widowed,Male,Market researcher,Unknown,Unknown
29,Chandler Drive,Josh,Richards,39,Head,Single,Male,Astronomer,Unknown,Unknown
29,Chandler Drive,Hazel,Taylor,46,Unknown,Single,Female,Local government officer,Unknown,Unknown
29,Chandler Drive,Jade,Parker,59,Unknown,Single,Female,Building surveyor,Unknown,Christian
29,Chandler Drive,Tina,Parry,41,Unknown,Single,Female,"Therapist, nutritional",Unknown,Catholic
29,Chandler Drive,Jacob,Stewart,44,Unknown,Single,Male,Intelligence analyst,Unknown,Christian
30,Chandler Drive,Jill,Khan,24,Head,Single,Female,Nature conservation officer,Unknown,Methodist
31,Chandler Drive,Naomi,Knight,52,Head,Married,Female,Contractor,Unknown,Christian
31,Chandler Drive,Ricky,Knight,53,Husband,Married,Male,Automotive engineer,Unknown,Unknown
31,Chandler Drive,Mary,Knight,30,Daughter,Divorced,Female,"Therapist, music",Unknown,Unknown
31,Chandler Drive,Josephine,Knight,28,Daughter,Single,Female,Broadcast presenter,Unknown,Christian
32,Chandler Drive,Ryan,Cooper,74,Head,Widowed,Male,Retired,Unknown,Catholic
32,Chandler Drive,Laura,Jones,8,Granddaughter,Unknown,Female,Student,Unknown,Unknown
33,Chandler Drive,Ronald,Little,94,Head,Widowed,Male,Retired,Unknown,Christian
34,Chandler Drive,Pauline,George,24,Head,Married,Female,Unemployed,Unknown,Unknown
34,Chandler Drive,Stanley,George,21,Husband,Married,Male,Lobbyist,Unknown,Unknown
35,Chandler Drive,Max,Faulkner,104,Head,Married,Male,Retired,Unknown,Methodist
35,Chandler Drive,Jacqueline,Faulkner,96,Wife,Married,Female,Retired,Unknown,Unknown
36,Chandler Drive,Carole,Ashton,20,Head,Single,Female,University Student,Unknown,Unknown
36,Chandler Drive,Raymond,Walker,20,Unknown,Single,Male,University Student,Unknown,Unknown
36,Chandler Drive,Ronald,Bates,20,Unknown,Single,Male,University Student,Unknown,Christian
37,Chandler Drive,George,Harris,56,Head,Single,Male,Wellsite geologist,Unknown,Christian
38,Chandler Drive,Barbara,Bennett,28,Head,Single,Female,Information systems manager,Unknown,Christian
38,Chandler Drive,Shane,Barrett,61,Unknown,Single,Male,Higher education careers adviser,Unknown,Christian
39,Chandler Drive,Ronald,Moore,79,Head,Divorced,Male,Retired,Unknown,Unknown
40,Chandler Drive,Gareth,Fisher,56,Head,Single,Male,Copy,Unknown,Unknown
40,Chandler Drive,Helen,Smith,8,Neice,Unknown,Female,Student,Unknown,Unknown
41,Chandler Drive,Kathryn,Lawrence,38,Head,Single,Female,Clinical research associate,Unknown,Methodist
41,Chandler Drive,Mohammed,Ahmed,41,Partner,Single,Male,Geographical information systems officer,Unknown,Methodist
41,Chandler Drive,Norman,Lawrence,7,Son,Unknown,Male,Student,Unknown,Unknown
41,Chandler Drive,Jake,Lawrence,6,Son,Unknown,Male,Student,Unknown,Unknown
42,Chandler Drive,Gavin,Wright,39,Head,Married,Male,Publishing copy,Unknown,Christian
42,Chandler Drive,Stacey,Wright,30,Wife,Married,Female,Retail merchandiser,Unknown,Christian
43,Chandler Drive,June,Wilkinson,26,Head,Married,Female,"Editor, commissioning",Unknown,Unknown
43,Chandler Drive,Jonathan,Wilkinson,28,Husband,Married,Male,Chemical engineer,Unknown,Unknown
44,Chandler Drive,John,Collier,67,Head,Married,Male,Retired,Unknown,Christian
44,Chandler Drive,Frances,Collier,65,Wife,Married,Female,Retired,Unknown,Christian
44,Chandler Drive,Terence,Collier,0,Grandson,Unknown,Male,Child,Unknown,Unknown
45,Chandler Drive,Jamie,Poole,48,Head,Single,Male,Database administrator,Unknown,Methodist
46,Chandler Drive,Holly,Smith,65,Head,Single,Female,Retired,Unknown,Unknown
47,Chandler Drive,Sara,Clark,37,Head,Single,Female,Unemployed,Unknown,Unknown
47,Chandler Drive,Kim,Clark,3,Daughter,Unknown,Female,Child,Unknown,Unknown
48,Chandler Drive,Danny,Allen,63,Head,Single,Male,Education administrator,Unknown,Unknown
1,Adams Ways,Matthew,Harrison,71,Head,Divorced,Male,Retired,Unknown,Christian
2,Adams Ways,Barry,Cooper,34,Head,Single,Male,Psychiatric nurse,Unknown,Unknown
3,Adams Ways,Sharon,Chapman,35,Head,Single,Female,"Pilot, airline",Unknown,Catholic
3,Adams Ways,Adrian,Houghton,31,Unknown,Single,Male,Acupuncturist,Unknown,Muslim
4,Adams Ways,Sara,Wood,73,Head,Widowed,Female,Retired,Unknown,Unknown
5,Adams Ways,Julia,Butler,44,Head,Married,Female,Legal secretary,Unknown,Unknown
5,Adams Ways,Vincent,Butler,47,Husband,Married,Male,Fish farm manager,Unknown,Unknown
6,Adams Ways,Alice,Quinn,22,Head,Divorced,Female,University Student,Unknown,Methodist
7,Adams Ways,Amber,Barker,35,Head,Single,Female,"Engineer, energy",Unknown,Unknown
8,Adams Ways,Cheryl,Lloyd,24,Head,Single,Female,Geographical information systems officer,Unknown,Sikh
9,Adams Ways,Lee,Davis,31,Head,Single,Male,Unemployed,Unknown,Catholic
9,Adams Ways,Peter,Williamson,24,Unknown,Single,Male,Statistician,Unknown,Unknown
10,Adams Ways,Malcolm,Ellis,82,Head,Single,Male,Retired,Unknown,Methodist
11,Adams Ways,Lydia,Smith,76,Head,Widowed,Female,Retired,Unknown,Unknown
12,Adams Ways,Rosie,Cooper,73,Head,Widowed,Female,Retired,Unknown,Unknown
13,Adams Ways,Shirley,Cooper,26,Head,Single,Female,"Engineer, maintenance",Unknown,Unknown
14,Adams Ways,Marcus,Webster,61,Head,Divorced,Male,IT sales professional,Unknown,Christian
1,Guardian Road,Jason,Smith,56,Head,Single,Male,Planning and development surveyor,Unknown,Methodist
1,Guardian Road,Melanie,Adams,50,Partner,Single,Female,Event organiser,Unknown,Unknown
2,Guardian Road,Pamela,Hussain,41,Head,Married,Female,Petroleum engineer,Unknown,Catholic
2,Guardian Road,Ross,Hussain,43,Husband,Married,Male,Data scientist,Unknown,Unknown
2,Guardian Road,Samantha,Hussain,7,Daughter,Unknown,Female,Student,Unknown,Unknown
3,Guardian Road,Hilary,Harrison,62,Head,Single,Female,Lexicographer,Unknown,Christian
3,Guardian Road,Maurice,Harrison,41,Son,Divorced,Male,Insurance broker,Unknown,Christian
4,Guardian Road,Rebecca,Davies,67,Head,Single,Female,Retired,Unknown,Christian
5,Guardian Road,Bruce,Thompson,52,Head,Married,Male,"Psychologist, educational",Unknown,Christian
5,Guardian Road,Judith,Thompson,45,Wife,Married,Female,Television production assistant,Unknown,Christian
6,Guardian Road,Cheryl,Wong,48,Head,Single,Female,Cabin crew,Unknown,Methodist
6,Guardian Road,Matthew,Goddard,20,Unknown,Single,Male,University Student,Unknown,Methodist
7,Guardian Road,Timothy,Green,68,Head,Married,Male,Retired,Unknown,Christian
7,Guardian Road,Bethan,Green,67,Wife,Married,Female,Retired,Unknown,Unknown
8,Guardian Road,Hannah,Page,28,Head,Married,Female,Medical secretary,Unknown,Unknown
8,Guardian Road,Hilary,Page,27,Wife,Married,Female,"Administrator, sports",Unknown,Unknown
8,Guardian Road,Joel,Page,3,Son,Unknown,Male,Child,Unknown,Unknown
8,Guardian Road,Fiona,Ali,18,Lodger,Single,Female,Student,Unknown,Unknown
9,Guardian Road,Benjamin,Edwards,34,Head,Married,Male,Water quality scientist,Unknown,Catholic
9,Guardian Road,Jacqueline,Edwards,31,Wife,Married,Female,Musician,Unknown,Unknown
1,Runnymede Harbors,Jacqueline,Hayes,52,Head,Married,Female,Unemployed,Unknown,Unknown
1,Runnymede Harbors,Ronald,Hayes,57,Husband,Married,Male,Commercial art gallery manager,Unknown,Unknown
1,Runnymede Harbors,Jemma,Hayes,36,Daughter,Single,Female,Newspaper journalist,Unknown,Unknown
1,Runnymede Harbors,Mohammed,Hayes,34,Son,Divorced,Male,Warden/ranger,Unknown,Unknown
2,Runnymede Harbors,Dean,Wade,19,Head,Single,Male,University Student,Unknown,Christian
3,Runnymede Harbors,Natasha,Collins,49,Head,Single,Female,Editorial assistant,Unknown,Christian
4,Runnymede Harbors,Ashley,Smith,37,Head,Single,Male,Public house manager,Unknown,Catholic
4,Runnymede Harbors,Katy,Taylor,37,Partner,Single,Female,Higher education lecturer,Unknown,Unknown
4,Runnymede Harbors,Alexandra,Smith,4,Daughter,Unknown,Female,Child,Unknown,Unknown
4,Runnymede Harbors,Alex,Smith,0,Son,Unknown,Male,Child,Unknown,Unknown
5,Runnymede Harbors,Vanessa,Dunn,38,Head,Married,Female,Interpreter,Unknown,Catholic
5,Runnymede Harbors,Jonathan,Dunn,40,Husband,Married,Male,Museum/gallery conservator,Unknown,Unknown
5,Runnymede Harbors,Jonathan,Dunn,17,Son,Unknown,Male,Student,Unknown,Unknown
5,Runnymede Harbors,Cheryl,Dunn,13,Daughter,Unknown,Female,Student,Unknown,Unknown
6,Runnymede Harbors,Barbara,Rogers,46,Head,Single,Female,Television production assistant,Unknown,Christian
6,Runnymede Harbors,Guy,Rogers,8,Son,Unknown,Male,Student,Unknown,Unknown
6,Runnymede Harbors,Beverley,Rogers,4,Daughter,Unknown,Female,Child,Unknown,Unknown
6,Runnymede Harbors,Chloe,Bennett,33,Lodger,Single,Female,Immunologist,Unknown,Christian
6,Runnymede Harbors,Yvonne,Ahmed,53,Lodger,Single,Female,Administrator,Unknown,Christian
7,Runnymede Harbors,Peter,Steele,69,Head,Married,Male,Retired,Unknown,Christian
7,Runnymede Harbors,Georgina,Steele,67,Wife,Married,Female,Retired,Unknown,Unknown
7,Runnymede Harbors,Sandra,Steele,44,Daughter,Single,Female,Event organiser,Unknown,Christian
7,Runnymede Harbors,Robin,Steele,42,Son,Single,Male,"Engineer, petroleum",Unknown,Christian
7,Runnymede Harbors,Cameron,Steele,41,Son,Divorced,Male,Sports therapist,Unknown,Christian
7,Runnymede Harbors,Jane,Steele,26,Daughter,Divorced,Female,Unemployed,Unknown,Christian
